text,label
"Great parent-teacher listening session this morning with @VP Pence &amp, @usedgov Secretary @BetsyDeVos. Watch:... https://t.co/nuLTs513Ot",1
The real story here is why are there so many illegal leaks coming out of Washington? Will these leaks be happening as I deal on N.Korea etc?,1
Congratulations to our new #VASecretary Dr. David Shulkin. Time to take care of Veterans who have fought to protect... https://t.co/FNewjbHuw4,1
Congratulations Treasury Secretary Steven Mnuchin! #ICYMI- watch here: https://t.co/RPsmw4yD7y https://t.co/K8tWLlXiYK,1
"Wonderful meeting with Canadian PM @JustinTrudeau and a group of leading CEO's &amp, business women from Canada🇨🇦and th... https://t.co/wAoCOaYeZ6",1
Welcome to the @WhiteHouse Prime Minister @JustinTrudeau! https://t.co/WKgF8Zo9ri,1
Today I will meet with Canadian PM Trudeau and a group of leading business women to discuss women in the workforce. https://t.co/bFAHPRXHdP,1
Just leaving Florida. Big crowds of enthusiastic supporters lining the road that the FAKE NEWS media refuses to mention. Very dishonest!,1
Congratulations Stephen Miller- on representing me this morning on the various Sunday morning shows. Great job!,1
I know Mark Cuban well. He backed me big-time but I wasn't interested in taking all of his calls.He's not smart enough to run for president!,1
"After two days of very productive talks, Prime Minister Abe is heading back to Japan. L",1
"While on FAKE NEWS @CNN, Bernie Sanders was cut off for using the term fake news to describe the network. They said technical difficulties!",1
"72% of refugees admitted into U.S. (2/3 -2/11) during COURT BREAKDOWN are from 7 countries: SYRIA, IRAQ, SOMALIA, IRAN, SUDAN, LIBYA &amp, YEMEN",1
"The crackdown on illegal criminals is merely the keeping of my campaign promise. Gang members, drug dealers &amp, others are being removed!",1
#ICYMI: Joint Statement with Prime Minister Shinzo Abe on North Korea. https://t.co/qEC87FKB1D,1
RT @Scavino45: LIVE Joint Statement by President Trump and Prime Minister Shinzo Abe: https://t.co/c3Fe5cUaaS,1
"A working dinner tonight with Prime Minister Abe of Japan, and his representatives, at the Winter White House (Mar-a-Lago). Very good talks!",1
"Played golf today with Prime Minister Abe of Japan and @TheBig_Easy, Ernie Els, and had a great time. Japan is very well represented!",1
"Playef golf today with Prime Minister Abe of Japan and @TheBig_Easy, Ernie Els, and had a great time. Japan is very well represented!",1
