text,label
"true happiness comes from gaining insight and growing into your best possible self. otherwise all you're having is immediate gratification pleasure, which is fleeting and doesn't grow you as a person.",0
"the roots of education are bitter, but the fruit is sweet.",0
before you heal the body you must first heal the mind,0
the proof that you know something is that you are able to teach it,0
"those who are not angry at the things they should be angry at are thought to be fools, and so are those who are not angry in the right way, at the right time, or with the right persons.",0
"whatever we learn to do, we learn by actually doing it; men come to be builders, for instance, by building, and harp players by playing the harp. in the same way, by doing just acts we come to be just; by doing self-controlled acts, we come to be self-controlled ; and by doing brave acts, we become brave.",0
"the greatest thing by far is to be a master of metaphor; it is the one thing that cannot be learned from others; and it is also a sign of genius, since a good metaphor implies an intuitive perception of the similarity of the dissimilar.",0
"the society that loses its grip on the past is in danger, for it produces men who know nothing but the present, and who are not aware that life had been, and could be, different from what it is.",0
"the man who is truly good and wise will bear with dignity whatever fortune sends, and will always make the best of his circumstances.",0
the greatest of all pleasures is the pleasure of learning.,0
fortune favours the bold.,0
you are what you repeatedly do,0
the quality of life is determined by its activities.,0
you are what you do repeatedly.,0
anyone who has no need of anybody but himself is either a beast or a god.,0
love is composed of a single soul inhabiting two bodies.,0
"love well, be loved and do something of value.",0
philosophy begins with wonder.,0
"plato is my friend, but truth is a better friend.",0
"at his best, man is the noblest of all animals; separated from law and justice he is the worst.",0
a promise made must be a promise kept.,0
it is better for a city to be governed by a good man than by good laws.,0
men become richer not only by increasing their existing wealth but also by decreasing their expenditure.,0
"consider pleasures as they depart, not as they come.",0
"dignity does not consist in possessing honors, but in deserving them.",0
he who sees things grow from the beginning will have the best view of them.,0
happiness is the reward of virtue.,0
"if you would understand anything, observe its beginning and its development",0
a friend is another i.,0
he who hath many friends hath none.,0
the hand is the tool of tools.,0
good moral character is not something that we can achieve on our own. we need a culture that supports the conditions under which self-love and friendship flourish.,0
"we give up leisure in order that we may have leisure, just as we go to war in order that we may have peace.",0
we must be neither cowardly nor rash but courageous.,0
the true nature of anything is what it becomes at its highest.,0
"to give away money is an easy matter and in any man's power. but to decide to whom to give it and how large and when, and for what purpose and how, is neither in every man's power nor an easy matter.",0
a man's happiness consists in the free exercise of his highest faculties.,0
for what is the best choice for each individual is the highest it is possible for him to achieve.,0
those who act receive the prizes.,0
